epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.757,0.98487,9.9846,0.70869,0.82654,1.4852,0.00865,0.25309,0.00773,0.00204,0,0,0,0,3.44802,11.5901,0.64925,inf,5.29414,0.0006,0.0006,0.0006
2,709.986,0.91247,8.34889,0.58407,0.83936,1.3134,0.00438,0.19342,0.00253,0.00046,0,0,0,0,4.53816,11.9782,4.84431,inf,380.058,0.00120792,0.00120792,0.00120792
3,1072.06,1.05174,7.93037,0.52238,0.88062,1.37898,0.00283,0.10288,0.00156,0.00032,0,0,0,0,4.11042,11.8921,0.50427,1342.92,66.234,0.00180357,0.00180357,0.00180357
4,1404.12,1.08947,7.3717,0.52116,0.93482,1.46121,0.00604,0.65226,0.00492,0.00158,0,0,0,0,3.69224,11.9954,3.9511,inf,388.313,0.0019406,0.0019406,0.0019406
5,1783.13,0.98524,7.05117,0.5045,0.81672,1.37012,0.01695,0.49794,0.01324,0.00279,0,0,0,0,3.57418,11.8115,0.33723,inf,18.9599,0.0019208,0.0019208,0.0019208
6,2058.69,0.83826,6.46338,0.47763,0.68225,1.27392,0.78353,0.61071,0.70148,0.55951,0.01637,0.01235,0.0007,9e-05,0.79768,7.79203,0.36745,7.63072,1.32876,0.001901,0.001901,0.001901
7,2386.52,0.78607,5.87284,0.45883,0.62644,1.23727,0.09112,0.97119,0.09158,0.07788,0.02011,0.22016,0.00557,0.00075,0.5322,5.92544,0.28484,38.682,1.06129,0.0018812,0.0018812,0.0018812
8,2704.68,0.74278,5.53907,0.46443,0.59919,1.18601,0.99414,1,0.99496,0.87205,0.33717,0.33951,0.12116,0.01476,0.51522,5.29408,0.29519,0.70284,1.03015,0.0018614,0.0018614,0.0018614
9,3056.39,0.71242,5.27729,0.42571,0.56737,1.1562,0.98842,1,0.99278,0.88692,0.38458,0.39095,0.16298,0.02735,0.50528,4.95553,0.28442,0.67526,0.96894,0.0018416,0.0018416,0.0018416
10,3398.46,0.68137,4.87244,0.40825,0.5454,1.13496,0.99388,1,0.995,0.89193,0.60934,0.61317,0.38361,0.06108,0.4369,4.62148,0.24103,0.75204,0.95981,0.0018218,0.0018218,0.0018218
11,3749.57,0.65398,4.65654,0.40487,0.52185,1.12678,0.99706,1,0.995,0.90309,0.68087,0.68724,0.47769,0.10082,0.43459,4.38383,0.28075,0.44338,0.93322,0.001802,0.001802,0.001802
