epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.308,2.443,10.653,0.71345,3.65451,2.83747,0.47172,0.70297,0.50625,0.12509,0,0,0,0,2.56883,11.7075,0.7077,2.71065,2.97654,8.574e-05,8.574e-05,8.574e-05
2,234.957,1.75183,9.74782,0.68274,2.25311,1.92446,0.95892,1,0.99403,0.47824,0,0,0,0,1.33051,11.5907,0.69083,2.09657,1.64866,0.000183931,0.000183931,0.000183931
3,348.864,1.45126,9.59229,0.64802,1.95654,1.5633,0.98768,1,0.99392,0.56979,0,0,0,0,1.24128,11.5176,0.68052,2.52895,1.88811,0.000280141,0.000280141,0.000280141
4,462.125,1.24533,9.62901,0.60724,1.55732,1.45005,0.98879,1,0.98922,0.60964,0,0,0,0,1.36294,11.4624,0.6562,1.96627,1.8938,0.000374371,0.000374371,0.000374371
5,594.394,1.32634,9.05843,0.59295,1.40589,1.61974,0.98919,1,0.98912,0.61077,0,0,0,0,1.25413,11.3405,0.59833,2.05876,1.92144,0.00046662,0.00046662,0.00046662
6,707.157,1.30312,9.02439,0.58114,1.40221,1.67047,0.74808,1,0.98042,0.57483,0,0,0,0,1.44837,11.0195,0.55115,2.60986,2.21253,0.000556888,0.000556888,0.000556888
7,823.41,1.18338,9.24992,0.54118,1.15691,1.47518,0.98937,1,0.99314,0.67052,0,0,0,0,1.12019,10.8586,0.50981,1.48561,1.67411,0.000645176,0.000645176,0.000645176
8,939.067,1.19272,8.97225,0.53394,1.12507,1.58314,0.98802,1,0.98735,0.67484,0,0,0,0,1.20283,10.5116,0.45532,1.91136,1.86748,0.000731484,0.000731484,0.000731484
9,1056.1,1.27972,8.92511,0.49197,0.98147,1.56753,0.98737,1,0.98549,0.54512,0,0,0,0,1.54303,10.4223,0.42708,2.138,2.57106,0.00081581,0.00081581,0.00081581
10,1167.99,1.0326,7.99766,0.55591,0.92874,1.35948,0.98867,1,0.98735,0.71737,0,0,0,0,1.14395,10.0197,0.37223,1.33548,1.66133,0.000898157,0.000898157,0.000898157
11,1277.63,1.09648,7.80273,0.53895,0.9379,1.47471,0.98923,1,0.98735,0.67521,0,0,0,0,1.20213,9.54796,0.31378,1.38626,1.91617,0.000978522,0.000978522,0.000978522
12,1388.93,1.11192,8.27219,0.47471,0.92064,1.41192,0.68181,0.95471,0.84652,0.47755,0,0,0,0,1.4829,8.89057,0.24427,2.48712,2.08934,0.00105691,0.00105691,0.00105691
13,1504.27,0.94991,8.31376,0.45955,0.79198,1.35383,0.83364,0.9604,0.98171,0.70989,0,0,0,0,0.93583,8.90375,0.23858,1.55222,1.48378,0.00113331,0.00113331,0.00113331
14,1613.24,1.07494,7.89287,0.51767,0.91073,1.40198,0.6734,0.95948,0.87732,0.44105,0,0,0,0,1.74651,9.58557,0.16461,1.80062,3.00448,0.00120774,0.00120774,0.00120774
15,1724.79,1.05342,7.53225,0.44109,0.87064,1.38893,0.86381,0.9901,0.96132,0.36301,0,0,0,0,2.09358,8.95745,0.15239,2.87076,3.10602,0.00123094,0.00123094,0.00123094
16,1835.65,1.22586,7.61007,0.43459,1.01222,1.56269,0.80813,0.83403,0.89427,0.61402,0,0,0,0,1.28198,8.81696,0.13538,3.0913,2.01622,0.00121679,0.00121679,0.00121679
17,1946.58,1.13163,7.65911,0.47679,0.96309,1.46677,0.7685,1,0.85341,0.54408,0,0,0,0,1.25898,9.05319,0.1268,2.68141,1.8896,0.00120265,0.00120265,0.00120265
18,2058.06,1.07946,7.72868,0.46344,0.84252,1.42871,0.94369,0.99559,0.97897,0.69962,0,0,0,0,0.97163,9.44883,0.09929,1.41278,1.56415,0.0011885,0.0011885,0.0011885
19,2165.81,0.88459,7.82898,0.39863,0.75137,1.2731,0.96108,0.94059,0.98264,0.64051,0,0,0,0,1.29186,9.3047,0.09147,1.54576,1.90547,0.00117435,0.00117435,0.00117435
20,2276.89,0.93861,7.27919,0.44422,0.7526,1.33547,0.98877,1,0.99373,0.77306,0,0,0,0,0.83607,8.44868,0.09055,0.85939,1.31489,0.00116021,0.00116021,0.00116021
