epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,4342.72,0.54157,2.4239,0.30657,0.42036,1.01373,0.99986,1,0.995,0.94305,0.99986,1,0.995,0.61545,0.3675,1.56496,0.23088,0.29923,0.85642,0.0014654,0.0014654,0.0014654
29,4399.25,0.56732,2.30628,0.31511,0.43285,1.0393,0.99986,1,0.995,0.93325,0.99986,1,0.995,0.59275,0.36648,1.4911,0.24198,0.30176,0.86806,0.0014456,0.0014456,0.0014456
30,4480.27,0.5108,2.31587,0.30114,0.39825,0.99814,0.99563,1,0.995,0.9291,0.9649,0.96914,0.94567,0.60477,0.38939,1.50918,0.21545,0.32695,0.89611,0.0014258,0.0014258,0.0014258
31,4580.14,0.49258,2.2208,0.31263,0.38456,0.99448,0.99936,1,0.995,0.94852,0.99936,1,0.995,0.59616,0.32746,1.70572,0.2053,0.30821,0.86213,0.001406,0.001406,0.001406
32,4654.95,0.52527,2.07855,0.29091,0.38728,1.00239,0.99984,1,0.995,0.94684,0.99778,0.99794,0.99325,0.67259,0.34879,1.39661,0.22278,0.28834,0.8448,0.0013862,0.0013862,0.0013862
33,4718.28,0.53279,2.07957,0.31398,0.3979,0.99923,0.99977,1,0.995,0.94009,0.99977,1,0.995,0.6934,0.35063,1.19743,0.2103,0.30379,0.8541,0.0013664,0.0013664,0.0013664
34,4835.18,0.53805,2.2403,0.29466,0.40307,1.00562,0.99879,1,0.995,0.94371,0.98231,0.98354,0.97161,0.61237,0.35535,1.51992,0.2167,0.30714,0.86757,0.0013466,0.0013466,0.0013466
35,4904.12,0.52172,2.22036,0.29201,0.39957,1.00439,0.99974,1,0.995,0.94844,0.98946,0.98971,0.98071,0.6802,0.33386,1.29133,0.20992,0.28979,0.85115,0.0013268,0.0013268,0.0013268
36,4986.27,0.5093,1.97328,0.29674,0.38501,0.99542,0.99983,1,0.995,0.93706,0.99983,1,0.995,0.6928,0.35662,1.15136,0.22567,0.3363,0.86025,0.001307,0.001307,0.001307
37,5046.25,0.53114,1.99511,0.29065,0.3978,1.01696,0.99967,1,0.995,0.93132,0.94619,0.9465,0.91078,0.62312,0.39278,1.47666,0.20907,0.32292,0.901,0.0012872,0.0012872,0.0012872
38,5102.2,0.49103,1.84189,0.29178,0.38072,0.99174,0.99988,1,0.995,0.95985,0.99988,1,0.995,0.75688,0.30435,0.97874,0.20762,0.2632,0.83756,0.0012674,0.0012674,0.0012674
39,5170.51,0.49171,1.79645,0.2828,0.3704,0.98801,0.99953,1,0.995,0.9407,0.98513,0.9856,0.97347,0.7385,0.34255,0.95526,0.20023,0.27721,0.85861,0.0012476,0.0012476,0.0012476
40,5222.6,0.50242,1.7988,0.29813,0.38052,0.99967,0.99986,1,0.995,0.94255,0.99368,0.99383,0.99068,0.73328,0.3523,1.03672,0.19911,0.29074,0.85731,0.0012278,0.0012278,0.0012278
41,5281.12,0.51228,1.74869,0.29135,0.38602,0.99698,0.99945,1,0.995,0.95167,0.97889,0.97942,0.96661,0.77091,0.33351,1.01106,0.20608,0.2675,0.84955,0.001208,0.001208,0.001208
42,5347.29,0.50107,1.66561,0.29438,0.3742,0.98356,0.99987,1,0.995,0.95748,0.99575,0.99588,0.99354,0.81124,0.30665,0.79384,0.19647,0.26351,0.83578,0.0011882,0.0011882,0.0011882
43,5422.27,0.48538,1.59215,0.27708,0.36501,0.99766,0.99987,1,0.995,0.9542,0.99987,1,0.995,0.83371,0.3278,0.76404,0.20371,0.27559,0.84552,0.0011684,0.0011684,0.0011684
44,5529.57,0.47109,1.58339,0.26623,0.35266,0.97207,0.99988,1,0.995,0.93141,0.99988,1,0.995,0.77889,0.37243,0.93083,0.19766,0.27477,0.86273,0.0011486,0.0011486,0.0011486
45,5597.02,0.46716,1.58459,0.28054,0.35361,0.97185,0.99984,1,0.995,0.96045,0.99984,1,0.995,0.797,0.32057,0.79448,0.20522,0.26041,0.84395,0.0011288,0.0011288,0.0011288
46,5646.94,0.46545,1.50407,0.27748,0.34842,0.97536,0.99988,1,0.995,0.95427,0.99988,1,0.995,0.83628,0.33111,0.69348,0.20602,0.2533,0.83605,0.001109,0.001109,0.001109
47,5715.28,0.45477,1.42663,0.27279,0.34716,0.96247,0.99986,1,0.995,0.97121,0.99986,1,0.995,0.85612,0.30122,0.70679,0.19866,0.24156,0.82198,0.0010892,0.0010892,0.0010892
48,5810.21,0.45241,1.42125,0.27098,0.3515,0.96338,0.99982,1,0.995,0.96099,0.99982,1,0.995,0.85271,0.28937,0.6153,0.1878,0.25737,0.82533,0.0010694,0.0010694,0.0010694
49,5874.78,0.45298,1.33886,0.26605,0.347,0.95234,0.99982,1,0.995,0.96392,0.98954,0.98971,0.98607,0.87228,0.311,0.64868,0.1817,0.25418,0.836,0.0010496,0.0010496,0.0010496
50,5941.55,0.46607,1.42004,0.27361,0.36078,0.96697,0.99987,1,0.995,0.96022,0.99987,1,0.995,0.85039,0.29021,0.67549,0.18545,0.25453,0.82169,0.0010298,0.0010298,0.0010298
51,5990.16,0.44772,1.38083,0.27343,0.34503,0.95976,0.99984,1,0.995,0.96449,0.99984,1,0.995,0.87608,0.28944,0.59717,0.1945,0.24668,0.82893,0.00101,0.00101,0.00101
52,6076.68,0.47919,1.43714,0.27148,0.35952,0.98363,0.99976,1,0.995,0.95865,0.99976,1,0.995,0.85696,0.29303,0.58958,0.18742,0.25648,0.84613,0.0009902,0.0009902,0.0009902
53,6135.37,0.45677,1.27769,0.2703,0.34075,0.96309,0.99988,1,0.995,0.96392,0.99988,1,0.995,0.89375,0.30785,0.54291,0.18672,0.24956,0.83256,0.0009704,0.0009704,0.0009704
54,6205.72,0.47734,1.4212,0.27206,0.35071,0.9752,0.99985,1,0.995,0.96779,0.99985,1,0.995,0.86905,0.28353,0.52516,0.17143,0.25021,0.83897,0.0009506,0.0009506,0.0009506
