epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.429,0,0,0,14.6291,0,0,0,0,0,0,0,0,0,0,0,0,17.6916,0,0.00017148,0.00017148,0.00017148
2,53.4679,0,0,0,9.76031,0,0,0,0,0,0,0,0,0,0,0,0,9.77809,0,0.000353713,0.000353713,0.000353713
3,79.5638,0,0,0,7.14264,0,0,0,0,0,0,0,0,0,0,0,0,6.60151,0,0.000532268,0.000532268,0.000532268
4,104.392,0,0,0,5.58251,0,0,0,0,0,0,0,0,0,0,0,0,5.29934,0,0.000707145,0.000707145,0.000707145
5,130.2,0,0,0,4.55674,0,0,0,0,0,0,0,0,0,0,0,0,5.40133,0,0.000878343,0.000878343,0.000878343
6,156.654,0,0,0,3.78968,0,0,0,0,0,0,0,0,0,0,0,0,4.43799,0,0.00104586,0.00104586,0.00104586
7,184.287,0,0,0,3.1354,0,0,0,0,0,0,0,0,0,0,0,0,4.09606,0,0.00120971,0.00120971,0.00120971
