epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,442.714,0.59976,3.10891,0.3248,0.40711,1.10084,0.99987,1,0.995,0.92803,0.99987,1,0.995,0.5349,0.40588,1.7714,0.14569,0.29287,1.06173,0.0009308,0.0009308,0.0009308
29,457.638,0.61297,3.0349,0.33016,0.41893,1.12026,0.99986,1,0.995,0.9164,0.9978,0.99794,0.99461,0.53661,0.42954,1.73362,0.15782,0.29183,1.07812,0.0008912,0.0008912,0.0008912
30,472.656,0.5864,2.97979,0.32384,0.40301,1.09621,0.99987,1,0.995,0.91979,0.99987,1,0.995,0.57744,0.42338,1.59173,0.14548,0.2795,1.0784,0.0008516,0.0008516,0.0008516
31,487.732,0.57592,2.95181,0.32063,0.40442,1.08795,0.99987,1,0.995,0.93789,0.99987,1,0.995,0.6145,0.36967,1.54931,0.15031,0.27459,1.02696,0.000812,0.000812,0.000812
32,502.779,0.56476,2.7939,0.3095,0.39858,1.07899,0.99987,1,0.995,0.94558,0.99987,1,0.995,0.63771,0.3581,1.42925,0.14339,0.27038,1.03056,0.0007724,0.0007724,0.0007724
33,517.853,0.53679,2.60919,0.30568,0.38503,1.06914,0.99988,1,0.995,0.94502,0.99988,1,0.995,0.64919,0.35692,1.42865,0.14823,0.26715,1.01408,0.0007328,0.0007328,0.0007328
34,532.935,0.52714,2.57836,0.30881,0.37605,1.05271,0.99987,1,0.995,0.94688,0.99987,1,0.995,0.6486,0.36378,1.43076,0.14124,0.25829,1.03048,0.0006932,0.0006932,0.0006932
35,548.078,0.53817,2.65089,0.31411,0.37837,1.07578,0.99987,1,0.995,0.94702,0.99987,1,0.995,0.68225,0.3601,1.29011,0.14869,0.27377,1.0273,0.0006536,0.0006536,0.0006536
36,564.327,0.54753,2.50853,0.31219,0.38189,1.07633,0.99979,1,0.995,0.94891,0.99979,1,0.995,0.64174,0.34868,1.37103,0.14478,0.26267,1.01203,0.000614,0.000614,0.000614
37,581.937,0.50613,2.54811,0.31071,0.35873,1.04554,0.99988,1,0.995,0.95346,0.99988,1,0.995,0.65913,0.34141,1.28731,0.14163,0.24136,1.00424,0.0005744,0.0005744,0.0005744
38,596.933,0.50699,2.41688,0.29018,0.35952,1.04631,0.99987,1,0.995,0.95911,0.99987,1,0.995,0.69583,0.33027,1.20397,0.14293,0.24663,0.99707,0.0005348,0.0005348,0.0005348
39,612.041,0.47208,2.35851,0.29046,0.34395,1.01295,0.99986,1,0.995,0.95582,0.98341,0.98354,0.97101,0.66764,0.31926,1.29195,0.13027,0.23354,0.98292,0.0004952,0.0004952,0.0004952
40,627.069,0.4856,2.2814,0.30622,0.33768,1.04443,0.99985,1,0.995,0.96172,0.99985,1,0.995,0.70556,0.31397,1.11864,0.1344,0.22616,0.98032,0.0004556,0.0004556,0.0004556
41,664.423,0.37858,1.25322,0.14065,0.26629,0.99876,0.99986,1,0.995,0.95199,0.99986,1,0.995,0.72219,0.31191,1.04003,0.12008,0.23461,0.97817,0.000416,0.000416,0.000416
42,680.573,0.35144,1.19403,0.12503,0.25104,0.95991,0.99988,1,0.995,0.95884,0.99988,1,0.995,0.75596,0.31675,0.97358,0.10688,0.22999,0.96985,0.0003764,0.0003764,0.0003764
43,695.63,0.34279,1.09616,0.11854,0.25009,0.94391,0.99988,1,0.995,0.96523,0.99988,1,0.995,0.7577,0.29553,0.95762,0.10236,0.22268,0.95899,0.0003368,0.0003368,0.0003368
44,710.757,0.32078,1.05671,0.11857,0.24533,0.93353,0.99988,1,0.995,0.97016,0.99988,1,0.995,0.78891,0.27836,0.86791,0.09912,0.21934,0.94722,0.0002972,0.0002972,0.0002972
45,725.904,0.31949,0.98145,0.10937,0.24054,0.95,0.99988,1,0.995,0.97659,0.99988,1,0.995,0.79902,0.26455,0.80763,0.09706,0.21498,0.93381,0.0002576,0.0002576,0.0002576
46,741.123,0.30084,0.90165,0.11185,0.22891,0.93525,0.99988,1,0.995,0.97257,0.99988,1,0.995,0.8175,0.26222,0.76412,0.09602,0.20846,0.92677,0.000218,0.000218,0.000218
47,756.302,0.29448,0.88184,0.10898,0.22306,0.9243,0.99988,1,0.995,0.98001,0.99988,1,0.995,0.83148,0.25059,0.73403,0.09487,0.20481,0.92407,0.0001784,0.0001784,0.0001784
48,771.47,0.27662,0.83706,0.10209,0.21895,0.91382,0.99988,1,0.995,0.97858,0.99988,1,0.995,0.83611,0.25752,0.71292,0.09362,0.20792,0.92048,0.0001388,0.0001388,0.0001388
49,786.648,0.28245,0.82969,0.10533,0.21713,0.91283,0.99988,1,0.995,0.9825,0.99988,1,0.995,0.83953,0.2413,0.69627,0.09197,0.19759,0.9126,9.92e-05,9.92e-05,9.92e-05
50,801.838,0.27225,0.79405,0.10361,0.21328,0.90558,0.99989,1,0.995,0.98663,0.99989,1,0.995,0.84771,0.22815,0.67928,0.09197,0.19113,0.90202,5.96e-05,5.96e-05,5.96e-05
