epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,409.392,0.94145,6.43408,0.47506,0.67453,0.98706,0.98947,1,0.99108,0.85281,0.03036,0.0198,0.00208,0.00021,0.66142,6.78285,0.20461,0.5569,0.90056,0.00100459,0.00100459,0.00100459
32,422.062,0.87279,6.39418,0.48321,0.6294,0.98922,0.98952,1,0.98912,0.80003,0.03086,0.0198,0.0022,0.00022,0.74663,6.6959,0.20595,0.53012,0.91976,0.00099044,0.00099044,0.00099044
33,433.742,0.88814,6.14069,0.47623,0.63118,1.00585,0.98949,1,0.98824,0.82973,0.04975,0.0297,0.0038,0.00038,0.63269,6.66191,0.20086,0.54284,0.8899,0.000976293,0.000976293,0.000976293
34,445.316,0.9032,6.1514,0.47818,0.65702,1.02388,0.98947,1,0.98725,0.79585,0.01536,0.0099,0.00057,6e-05,0.83917,6.67426,0.1869,0.58813,0.97969,0.000962146,0.000962146,0.000962146
35,456.979,0.88503,6.55292,0.4392,0.60714,0.99286,0.98933,1,0.98794,0.82443,0.0525,0.0396,0.00544,0.00054,0.84356,6.52541,0.19452,0.59745,0.99194,0.000947999,0.000947999,0.000947999
36,468.729,0.90993,6.14097,0.46897,0.6389,1.00193,0.98948,1,0.98637,0.83741,0.04931,0.0297,0.0048,0.00048,0.67401,6.42728,0.18753,0.52496,0.91083,0.000933851,0.000933851,0.000933851
37,481.406,0.87241,6.28342,0.43292,0.62678,0.98675,0.9895,1,0.98608,0.84604,0.03279,0.0198,0.00323,0.00032,0.72165,6.37902,0.18529,0.51176,0.9404,0.000919704,0.000919704,0.000919704
38,493.26,0.86591,5.84705,0.50212,0.61279,0.97664,0.98954,1,0.98657,0.85177,0.0634,0.0495,0.00812,0.00081,0.66021,6.32463,0.1708,0.53957,0.90093,0.000905557,0.000905557,0.000905557
39,506.178,0.90517,5.76655,0.4564,0.6649,0.9891,0.98956,1,0.98941,0.85328,0.0196,0.0198,0.00133,0.00013,0.67023,6.29216,0.17332,0.51414,0.89585,0.00089141,0.00089141,0.00089141
40,518.306,0.89217,6.00013,0.47856,0.5997,0.995,0.98959,1,0.99078,0.85087,0.08266,0.05941,0.02174,0.00217,0.61972,6.22117,0.16357,0.4567,0.89765,0.000877263,0.000877263,0.000877263
41,530.99,0.82167,5.71611,0.46431,0.58341,0.96308,0.98958,1,0.99088,0.88067,0.11758,0.11881,0.02335,0.00262,0.57656,6.18387,0.15687,0.46922,0.88059,0.000863116,0.000863116,0.000863116
42,542.985,0.86712,5.6745,0.46682,0.57277,0.95845,0.98958,1,0.99255,0.86249,0.15676,0.15842,0.06056,0.00625,0.61056,6.10147,0.16742,0.47862,0.8925,0.000848969,0.000848969,0.000848969
43,554.857,0.83558,5.81006,0.47605,0.58229,0.9858,0.98956,1,0.99471,0.86757,0.19598,0.19802,0.08665,0.01066,0.58225,6.03854,0.16853,0.46235,0.88066,0.000834822,0.000834822,0.000834822
44,567.284,0.81646,5.92648,0.41864,0.59443,0.95153,0.98954,1,0.99098,0.84883,0.3181,0.31683,0.17221,0.02233,0.65109,5.97504,0.1526,0.50132,0.89958,0.000820675,0.000820675,0.000820675
45,579.813,0.83509,5.59242,0.52861,0.5699,0.97966,0.98956,1,0.98843,0.88815,0.31352,0.31683,0.15174,0.01856,0.54946,5.96842,0.15266,0.47809,0.87143,0.000806528,0.000806528,0.000806528
46,594.842,0.84008,5.70833,0.43741,0.57167,0.97757,0.98957,1,0.98735,0.86797,0.21906,0.21782,0.09133,0.01115,0.65441,5.95076,0.1503,0.47048,0.90052,0.00079238,0.00079238,0.00079238
47,607.183,0.82004,5.76385,0.44935,0.54826,0.93721,0.98951,1,0.99108,0.88706,0.14962,0.14851,0.03515,0.0045,0.53312,6.10779,0.16247,0.47562,0.86065,0.000778233,0.000778233,0.000778233
48,619.569,0.82349,5.33342,0.45581,0.58131,0.98622,0.9895,1,0.99049,0.87498,0.27443,0.27723,0.1331,0.01654,0.57069,5.82063,0.15831,0.4966,0.86848,0.000764086,0.000764086,0.000764086
49,632.102,0.80043,5.54153,0.47789,0.55113,0.94954,0.98949,1,0.99049,0.85912,0.28428,0.28713,0.13179,0.0153,0.65137,5.78806,0.15725,0.49632,0.88789,0.000749939,0.000749939,0.000749939
50,643.969,0.77443,5.38701,0.44568,0.5462,0.9417,0.98943,1,0.99088,0.88803,0.21554,0.21782,0.07513,0.01102,0.54477,5.77582,0.16349,0.46173,0.88203,0.000735792,0.000735792,0.000735792
51,656.279,0.82473,5.41402,0.44954,0.5549,0.98742,0.98939,1,0.99225,0.86968,0.2289,0.22772,0.09192,0.01213,0.55992,5.7632,0.16375,0.45872,0.87721,0.000721645,0.000721645,0.000721645
52,668.155,0.73343,5.55338,0.39506,0.50077,0.95318,0.98949,1,0.99157,0.8672,0.20585,0.20792,0.07648,0.01166,0.62081,5.73009,0.15891,0.44511,0.87851,0.000707498,0.000707498,0.000707498
53,681.909,0.81852,5.15807,0.47826,0.55484,0.95684,0.98952,1,0.98824,0.88631,0.20087,0.19802,0.08625,0.0108,0.5571,5.77169,0.15551,0.42242,0.87249,0.000693351,0.000693351,0.000693351
54,695.032,0.80191,5.88238,0.3949,0.51109,0.94916,0.98954,1,0.99147,0.89759,0.31925,0.31683,0.22713,0.02835,0.53537,5.63596,0.15765,0.43312,0.8559,0.000679204,0.000679204,0.000679204
55,707.409,0.77977,5.33976,0.46083,0.52661,0.95518,0.98957,1,0.99284,0.87682,0.29393,0.29703,0.20756,0.03152,0.63738,5.64914,0.14881,0.44917,0.89547,0.000665057,0.000665057,0.000665057
56,723.297,0.76136,5.83547,0.42704,0.52172,0.95224,0.98958,1,0.995,0.90002,0.32877,0.32979,0.29046,0.04136,0.48402,5.60207,0.15019,0.42155,0.84546,0.000650909,0.000650909,0.000650909
