epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,503.22,0.98487,9.9846,0.70869,0.82654,1.4852,0.00865,0.25309,0.00773,0.00204,0,0,0,0,3.44802,11.5901,0.64925,inf,5.29414,0.0006,0.0006,0.0006
2,855.91,0.91247,8.34889,0.58407,0.83936,1.3134,0.00438,0.19342,0.00253,0.00046,0,0,0,0,4.53816,11.9782,4.84431,inf,380.058,0.00120792,0.00120792,0.00120792
3,1261.56,1.05174,7.93037,0.52238,0.88062,1.37898,0.00283,0.10288,0.00156,0.00032,0,0,0,0,4.11042,11.8921,0.50427,1342.92,66.234,0.00180357,0.00180357,0.00180357
4,1632.12,1.08947,7.3717,0.52116,0.93482,1.46121,0.00604,0.65226,0.00492,0.00158,0,0,0,0,3.69224,11.9954,3.9511,inf,388.313,0.0019406,0.0019406,0.0019406
5,2130.62,0.98524,7.05117,0.5045,0.81672,1.37012,0.01695,0.49794,0.01324,0.00279,0,0,0,0,3.57418,11.8115,0.33723,inf,18.9599,0.0019208,0.0019208,0.0019208
6,2547.49,0.83826,6.46338,0.47763,0.68225,1.27392,0.78353,0.61071,0.70148,0.55951,0.01637,0.01235,0.0007,9e-05,0.79768,7.79203,0.36745,7.63072,1.32876,0.001901,0.001901,0.001901
