epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.324,2.3482,10.7486,0.71311,4.28938,2.67653,0.83865,0.88119,0.86387,0.27934,0,0,0,0,2.00913,11.8271,0.68379,2.6819,2.12312,8.574e-05,8.574e-05,8.574e-05
2,505.11,1.49691,10.0433,0.69456,2.61119,1.58744,0.92014,0.93069,0.94322,0.47085,0,0,0,0,1.57076,11.685,0.67567,3.85836,1.82311,0.00018485,0.00018485,0.00018485
3,755.707,1.37708,9.61625,0.65221,2.06932,1.46401,0.97565,1,0.99216,0.66166,0,0,0,0,1.21054,11.522,0.65395,2.56217,1.51928,0.000282971,0.000282971,0.000282971
4,1010.75,1.15568,9.59846,0.64741,1.61725,1.30206,0.9886,1,0.99167,0.66835,0,0,0,0,1.09203,11.4121,0.64511,2.31782,1.41454,0.0003801,0.0003801,0.0003801
5,1266.62,1.21039,8.80698,0.63522,1.47589,1.30289,0.43508,1,0.74639,0.42274,0,0,0,0,1.206,11.0408,0.57623,6.67567,1.56372,0.00047624,0.00047624,0.00047624
6,1520,1.1952,8.78352,0.59161,1.61128,1.393,0.52774,1,0.97442,0.72443,0,0,0,0,1.01843,10.2653,0.5205,4.07139,1.52591,0.000571389,0.000571389,0.000571389
7,1773.69,1.1655,9.10412,0.55575,1.35383,1.30352,1,0.80186,0.93155,0.62197,0,0,0,0,1.39205,10.1594,0.4307,4.2204,1.74873,0.000665548,0.000665548,0.000665548
8,2021.18,1.31319,8.75861,0.54131,1.32669,1.4054,0.62513,0.94114,0.84573,0.42442,0,0,0,0,1.3652,9.91358,0.42849,5.37804,1.77438,0.000758717,0.000758717,0.000758717
9,2269.07,1.10252,8.80879,0.49427,1.15533,1.29455,0.26703,0.76238,0.77015,0.54047,0,0,0,0,1.27142,10.0648,0.31904,7.96511,1.78223,0.000850895,0.000850895,0.000850895
10,2520.84,1.14752,8.1302,0.52813,1.08888,1.22528,0.83245,0.8855,0.83974,0.55039,0,0,0,0,1.15982,9.4771,0.20791,5.50027,1.64164,0.000942083,0.000942083,0.000942083
11,2772.44,1.09125,8.01538,0.50703,1.13681,1.32468,0.93687,1,0.98525,0.60954,0,0,0,0,1.44364,10.3924,0.14944,4.994,1.93754,0.00103228,0.00103228,0.00103228
12,3026.03,1.14294,8.39341,0.4511,1.07112,1.25496,0.73782,0.85149,0.88663,0.6097,0,0,0,0,1.19728,9.68973,0.16888,4.9886,1.70317,0.00112149,0.00112149,0.00112149
13,3277.1,0.95314,8.08928,0.43386,0.93202,1.16408,0.82975,0.58416,0.67518,0.44486,0,0,0,0,1.51551,9.86789,0.14894,3.89622,2.07211,0.00120971,0.00120971,0.00120971
14,3526.04,1.02702,7.74699,0.51465,0.88621,1.18797,0.76139,0.47525,0.52399,0.30676,0,0,0,0,1.91738,10.3991,0.10324,3.85532,2.27465,0.00129693,0.00129693,0.00129693
15,3783.34,1.00265,7.90702,0.44875,0.87845,1.18518,0.02764,0.05941,0.00615,0.0026,0,0,0,0,2.31657,11.0016,0.06531,8.14105,4.24513,0.00132997,0.00132997,0.00132997
16,4035.5,0.98436,7.47605,0.43676,0.8503,1.18054,0.30705,0.27723,0.14239,0.08913,0,0,0,0,2.41796,10.4451,0.0678,7.94628,4.12064,0.0013229,0.0013229,0.0013229
17,4285.71,0.97937,7.70254,0.47573,0.78369,1.15571,0.03513,0.27723,0.02475,0.01258,0,0,0,0,1.96951,10.5735,0.09097,34.1471,3.24911,0.00131582,0.00131582,0.00131582
18,4535.82,0.988,7.58299,0.4619,0.78775,1.19163,0.00748,0.68317,0.00818,0.00359,0,0,0,0,2.03068,10.4628,0.06388,663.936,3.86826,0.00130875,0.00130875,0.00130875
19,4786.6,0.98034,7.6846,0.40192,0.79181,1.15325,0.00701,0.65347,0.00662,0.00185,0,0,0,0,2.90465,11.3887,0.03236,285.594,5.91577,0.00130168,0.00130168,0.00130168
20,5033.45,0.97383,7.09687,0.45436,0.80532,1.17711,0.9778,0.61386,0.68821,0.46639,0,0,0,0,1.65623,9.99053,0.05314,3.19891,2.00832,0.0012946,0.0012946,0.0012946
21,5279.75,0.927,6.75667,0.48044,0.74518,1.12957,0.98701,0.79208,0.84263,0.60766,0,0,0,0,1.43101,10.0487,0.0584,1.30959,1.9752,0.00128753,0.00128753,0.00128753
22,5530.32,0.82515,7.33852,0.43195,0.65733,1.07687,0.97926,0.93515,0.98177,0.65746,0,0,0,0,1.21387,9.15231,0.06414,1.31297,1.63799,0.00128046,0.00128046,0.00128046
23,5782.93,0.83301,7.0802,0.45421,0.71096,1.13235,0.95076,0.91089,0.9769,0.6342,0,0,0,0,1.39542,8.61815,0.08195,1.40182,1.76525,0.00127338,0.00127338,0.00127338
24,6028.84,0.89184,7.20334,0.46612,0.68645,1.08834,0.96276,0.51197,0.75276,0.50542,0,0,0,0,1.37471,8.84751,0.10381,1.51599,2.09015,0.00126631,0.00126631,0.00126631
25,6273.65,0.92766,6.73578,0.45952,0.71199,1.21959,0.861,0.70297,0.82551,0.53385,0,0,0,0,1.19627,8.95574,0.09898,1.17299,1.74352,0.00125923,0.00125923,0.00125923
26,6524.58,0.9333,6.53085,0.47327,0.6775,1.16577,0.94351,0.9802,0.98223,0.78284,0,0,0,0,0.82547,7.57145,0.09341,0.91442,1.21573,0.00125216,0.00125216,0.00125216
27,6773.67,0.87627,6.81695,0.41089,0.67061,1.13138,0.98802,1,0.98578,0.80886,0,0,0,0,0.81761,7.61893,0.11348,0.75515,1.21449,0.00124509,0.00124509,0.00124509
28,7024.74,0.9303,6.55055,0.45331,0.74406,1.18381,0.98803,1,0.98657,0.8206,0.03469,0.0198,0.00134,0.00013,0.74092,7.11978,0.12762,0.70885,1.09192,0.00123801,0.00123801,0.00123801
29,7275.4,0.91172,6.30786,0.43795,0.70453,1.14743,0.989,1,0.99265,0.81866,0,0,0,0,0.73068,7.21992,0.1208,0.65014,1.08483,0.00123094,0.00123094,0.00123094
30,7525.78,0.93722,5.70459,0.4105,0.71472,1.16469,0.99016,0.99655,0.99186,0.79112,0.03959,0.0297,0.00324,0.00032,0.864,6.81804,0.1181,0.59636,1.21184,0.00122387,0.00122387,0.00122387
31,7773.91,0.85821,6.31741,0.38691,0.65833,1.096,0.9895,1,0.9902,0.79922,0.04627,0.0297,0.00504,0.0005,0.76258,6.65752,0.11418,0.61148,1.08251,0.00121679,0.00121679,0.00121679
32,8018.26,0.82887,6.09544,0.41897,0.60228,1.08254,0.98959,1,0.99196,0.86925,0,0,0,0,0.58636,6.88689,0.11847,0.54729,0.97665,0.00120972,0.00120972,0.00120972
33,8269,0.80055,6.07393,0.42278,0.60334,1.08919,0.98954,1,0.99186,0.8615,0,0,0,0,0.65166,6.41733,0.1221,0.56492,1.02174,0.00120265,0.00120265,0.00120265
34,8511.66,0.814,5.73141,0.4185,0.63085,1.06569,0.9896,1,0.99216,0.87134,0.04943,0.0495,0.00461,0.00046,0.64197,6.13158,0.10889,0.56425,1.02231,0.00119557,0.00119557,0.00119557
35,8760.51,0.87712,6.3732,0.37147,0.59795,1.06832,0.98925,1,0.99451,0.83697,0.10143,0.10891,0.01781,0.0019,0.65371,5.90699,0.12462,0.58048,1.02114,0.0011885,0.0011885,0.0011885
36,9009.7,0.78508,5.9471,0.39356,0.60603,1.07809,0.98955,1,0.99186,0.80962,0,0,0,0,0.75015,6.77886,0.10164,0.5724,1.0638,0.00118143,0.00118143,0.00118143
37,9256.22,0.87164,5.9088,0.36238,0.61424,1.08358,0.98957,1,0.99314,0.86602,0,0,0,0,0.52108,6.55842,0.10536,0.49267,0.93361,0.00117435,0.00117435,0.00117435
38,9501.3,0.87394,5.26708,0.448,0.5957,1.12223,0.98998,1,0.99176,0.83627,0.28921,0.27723,0.11612,0.01226,0.67481,5.65604,0.12326,0.51642,1.03345,0.00116728,0.00116728,0.00116728
39,9743.79,0.85148,5.34319,0.37744,0.63998,1.09401,0.98975,1,0.99235,0.817,0.10863,0.10891,0.02183,0.00236,0.71666,6.05238,0.10946,0.5127,1.03876,0.00116021,0.00116021,0.00116021
40,9992.41,0.80728,5.32355,0.44262,0.55759,1.08345,0.98562,1,0.99441,0.83463,0.14772,0.12871,0.03133,0.00313,0.70722,6.01235,0.11084,0.51083,1.05544,0.00115313,0.00115313,0.00115313
41,10237,0.76127,4.9862,0.4115,0.54502,1.04842,0.94871,1,0.99063,0.79895,0.10787,0.09901,0.0156,0.00171,0.80588,5.95671,0.10805,0.56791,1.15187,0.00114606,0.00114606,0.00114606
42,10482.9,0.74378,4.9511,0.40843,0.55369,1.0195,0.96899,1,0.99382,0.81819,0.23678,0.22772,0.12112,0.01239,0.77399,5.73922,0.11175,0.55762,1.10196,0.00113898,0.00113898,0.00113898
43,10730.5,0.73969,5.1854,0.40109,0.56931,1.07834,0.98871,1,0.99225,0.79258,0.17024,0.11379,0.064,0.00661,0.96048,5.78424,0.11008,0.57433,1.35759,0.00113191,0.00113191,0.00113191
44,10976.2,0.70511,5.25633,0.37282,0.55608,1.02079,0.98951,1,0.99147,0.82276,0.48843,0.48212,0.29718,0.03565,0.83967,5.21688,0.10274,0.52532,1.31928,0.00112484,0.00112484,0.00112484
45,11224.7,0.74216,5.05559,0.41062,0.54352,1.05898,0.98956,1,0.99176,0.8352,0.36408,0.36634,0.16363,0.01891,0.80979,5.21091,0.10315,0.5278,1.28924,0.00111776,0.00111776,0.00111776
46,11472.9,0.69996,5.22784,0.36983,0.52783,1.0326,0.98956,1,0.99265,0.84186,0.11756,0.11881,0.02212,0.00263,0.79215,5.42439,0.10735,0.52103,1.30336,0.00111069,0.00111069,0.00111069
47,11722.5,0.74549,5.08867,0.40132,0.54532,1.04708,0.98945,1,0.99127,0.80749,0.38218,0.38614,0.16298,0.02325,0.94759,5.1937,0.11881,0.54001,1.41296,0.00110362,0.00110362,0.00110362
48,11975.1,0.7209,4.85268,0.37586,0.5367,1.07335,0.98959,1,0.99108,0.88629,0.32331,0.32673,0.11695,0.01714,0.53632,5.16561,0.11467,0.41828,0.91122,0.00109654,0.00109654,0.00109654
49,12226.9,0.65253,4.60135,0.40487,0.49421,0.99188,0.9896,1,0.99235,0.87812,0.72515,0.73267,0.57648,0.08148,0.51498,4.80088,0.12538,0.40911,0.92299,0.00108947,0.00108947,0.00108947
50,12474,0.68004,4.76508,0.36682,0.51876,1.00434,0.9896,1,0.9948,0.8965,0.40172,0.40594,0.19383,0.0255,0.48847,4.96217,0.12099,0.39343,0.92119,0.0010824,0.0010824,0.0010824
51,12720.9,0.69687,4.66218,0.38032,0.50108,1.00515,0.98953,1,0.9949,0.89934,0.72498,0.73267,0.57274,0.08221,0.47227,4.75998,0.12096,0.41451,0.89893,0.00107532,0.00107532,0.00107532
52,12963.3,0.61875,5.0515,0.36494,0.4453,0.9866,0.98955,1,0.99461,0.90823,0.40484,0.41584,0.25018,0.03493,0.51664,5.04732,0.1108,0.41278,0.93033,0.00106825,0.00106825,0.00106825
53,13212.6,0.67018,4.44544,0.40222,0.50679,1.00603,0.98957,1,0.99461,0.91707,0.25621,0.25743,0.11693,0.01325,0.44592,5.24513,0.10225,0.38867,0.89054,0.00106118,0.00106118,0.00106118
54,13462.3,0.69612,4.8908,0.33836,0.46301,1.01184,0.98955,1,0.99461,0.88534,0.40167,0.40594,0.19436,0.02192,0.59828,4.95965,0.09859,0.42234,0.96262,0.0010541,0.0010541,0.0010541
